ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,63,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,78,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,113,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,161,torch,.train(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,164,torch,.train(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,183,torch,.backward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/line_vectorizer.py,,45,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/line_vectorizer.py,,271,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/multitask_learner.py,,28,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/multitask_learner.py,,40,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,30,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,77,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,83,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,91,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,92,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,162,torch,forward(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/example.py,,58,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/example.py,,58,tensorflow,fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/analysis/embedding_vocab_checker.py,,30,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/analysis/data_vocab_checker.py,,22,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,,54,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,,56,sklearn,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,185,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,195,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,303,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,322,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,178,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,185,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,196,sklearn,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,41,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,55,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,86,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,121,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/multiclassifier_dnn.py,,24,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,70,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,300,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,437,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,,90,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,,163,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/DecisionTreeClassifier_multi_stock.py,,40,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-MLPClassifier.py,,7,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_single_stock_today_for_tomorrow.py,,52,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-hello-sklearn.py,,5,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-lg.py,,110,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-lg.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_single_stock.py,,46,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-pandas.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDClassifier_single_stock.py,,41,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_Prediction_For_Next_Week.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-sm.py,,97,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/Classifier.py,,78,sklearn,.fit(
