ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
skyduy/CNN_keras,ID1,Applied,287,30745,95,37.0,1,3154,0.0128606187000347,1.0
LuckyZXL2016/Reinforcement-Learning,ID1,Applied,30,51,35,32.0,1,2162,0.0215198386012104,1.0
chuyangliu/snake,ID2,Applied,1602,5858,471,241.0,3,3134,0.0839136490250696,3.0
dtrckd/pymake,ID1,Applied,13,1497,4,436.0,3,2954,0.1636022514071294,3.0
KaiyangZhou/pytorch-center-loss,ID1,Applied,942,5805,218,66.0,2,2500,0.0296362819937135,2.0
vaibhavmagon/Python-Spam-Ham-SMS,ID1,Applied,14,236,7,21.0,2,2329,0.0140468227424749,2.0
ai4ce/DeepMapping,ID1,Applied,191,36749,44,37.0,2,2248,0.0198604401502952,2.0
AvivSham/DeepLabv3,ID1,Applied,22,12298,7,40.0,2,2178,0.0229885057471264,2.0
hfawaz/ijcnn19attacks,ID1,Applied,72,5003,27,30.0,1,2148,0.0158982511923688,1.0
hfawaz/dl-4-tsc,ID1,Applied,1482,705,540,48.0,5,2327,0.0232333010648596,5.0
hfawaz/bigdata18,ID1,Applied,378,3742,68,32.0,2,2290,0.0158415841584158,2.0
luckycallor/InsightFace-tensorflow,ID1,Applied,248,27,112,19.0,1,2193,0.0099061522419186,1.0
abdullahselek/koolsla,ID1,Applied,20,14075,4,106.0,1,2533,0.049625468164794,1.0
abdullahselek/spampy,ID1,Applied,28,612,9,97.0,1,2424,0.0517333333333333,1.0
Piyush-Bhardwaj/EEG-based-emotion-analysis-using-DEAP-dataset-for-Supervised-Machine-Learning,ID1,Applied,141,3720,49,23.0,1,2205,0.0118617844249613,1.0
njchoma/transformer_image_caption,ID1,Applied,102,113288,17,88.0,2,2305,0.0433284096504185,2.0
cmasch/cnn-text-classification,ID1,Applied,116,1117,37,17.0,1,2546,0.0075656430796617,1.0
AkariAsai/extractive_rc_by_runtime_mt,ID1,Applied,38,980,5,23.0,2,2343,0.0117466802860061,2.0
amdegroot/ssd.pytorch,ID1,Applied,5053,108865,1736,333.0,9,2906,0.1258979206049149,9.0
SpatialPerceptionNeuralNetwork/SOA_DORN_TF,ID1,Applied,16,71,5,14.0,1,2232,0.0100214745884037,1.0
anitan0925/ResFGB,ID1,Applied,29,58,5,28.0,1,2531,0.0124223602484472,1.0
DenisTome/Lifting-from-the-Deep-release,ID1,Applied,448,1036,133,42.0,3,2828,0.0165876777251184,3.0
tomekkorbak/treehopper,ID1,Applied,15,144,3,84.0,2,2768,0.0360979802320584,2.0
YannDubs/disentangling-vae,ID1,Applied,767,232664,144,270.0,4,2185,0.1403326403326403,4.0
Viredery/tf-eager-fasterrcnn,ID1,Applied,88,73006,43,39.0,1,2269,0.0201238390092879,1.0
wb14123/seq2seq-couplet,ID1,Applied,5491,51,1068,48.0,1,2525,0.0212014134275618,1.0
x4nth055/emotion-recognition-using-speech,ID1,Applied,523,989370,224,80.0,2,2098,0.0435729847494553,2.0
AvinashSingh786/Fraud-Analysis,ID1,Applied,45,17860,28,39.0,2,2871,0.0151515151515151,2.0
simonkamronn/kvae,ID1,Applied,132,393,35,30.0,3,2803,0.011801730920535,3.0
lim-anggun/FgSegNet,ID1,Applied,232,466322,75,21.0,1,2593,0.0091783216783216,1.0
ahmedbesbes/character-based-cnn,ID1,Applied,257,378,56,228.0,1,2200,0.1209549071618037,1.0
Katexiang/ERF-PSPNET,ID1,Applied,24,524,4,43.0,1,2222,0.0493685419058553,1.0
murdockhou/lightweight_openpose,ID1,Applied,221,109919,66,44.0,2,2226,0.0223918575063613,2.0
rfeinman/learning-to-learn,ID1,Applied,21,494644,6,309.0,1,2702,0.1331322705730288,1.0
roberthangu/snn_object_recognition,ID1,Applied,23,2204,7,171.0,1,2830,0.0925324675324675,1.0
msahamed/lending_loan_prediction,ID1,Applied,14,984,8,24.0,1,2367,0.0165860400829302,1.0
vexilligera/strokenet,ID1,Applied,55,16900,13,32.0,2,2310,0.0166233766233766,2.0
goruck/smart-zoneminder,ID1,Applied,175,23062,40,596.0,2,2523,0.2666666666666666,2.0
goruck/edge-tpu-servers,ID1,Applied,42,38,15,19.0,2,2120,0.0106861642294713,2.0
SINGROUP/dscribe,ID1,Applied,374,17212,86,1288.0,14,2817,0.5041095890410959,14.0
gbolmier/funk-svd,ID1,Applied,204,48,63,50.0,5,2122,0.0269251480883144,5.0
NVlabs/geomapnet,ID1,Applied,342,2574,78,23.0,3,2484,0.0103790613718411,3.0
NVlabs/learningrigidity,ID1,Applied,144,4035,20,11.0,2,2375,0.0052034058656575,2.0
deep-fry/mayo,ID1,Applied,113,34777,21,1838.0,4,2457,0.8677998111425873,4.0
sherpa-ai/sherpa,ID1,Applied,329,5844,52,823.0,13,2444,0.3845794392523364,13.0
wangz10/tensorflow-playground,ID1,Applied,81,33,34,27.0,1,3168,0.0101351351351351,1.0
numenta/nupic.torch,ID2,Applied,259,275,87,282.0,9,2125,0.1523500810372771,9.0
v-mipeng/LexiconNER,ID1,Applied,157,2942,32,24.0,2,2072,0.0134604598990465,2.0
boubinjg/SoftwarePilot,ID1,Applied,40,1380765,12,226.0,6,2136,0.1211146838156484,6.0
mbanani/pytorch-clickhere-cnn,ID1,Applied,15,1210,1,94.0,1,2705,0.0567290283645141,1.0
orendv/learning_to_sample,ID1,Applied,172,4577,20,53.0,2,2242,0.0267812026275896,2.0
