ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
mlpack/ensmallen,ID1,Tool,700.0,5383.0,115.0,3410.0,30.0,2304.0,1.674030436917035,79.0
mlpack/mlpack,ID1,Tool,4825.0,269375.0,1570.0,29931.0,30.0,3690.0,8.728783902012248,245.0
mlr-org/mlr,ID1,Tool,1628.0,633540.0,402.0,4811.0,30.0,4165.0,1.237715461795729,72.0
mlr-org/mlr3,ID1,Tool,883.0,33580.0,81.0,1948.0,23.0,2342.0,0.9365384615384617,24.0
mmalekzadeh/motion-sense,ID1,Tool,313.0,206646.0,101.0,170.0,2.0,2543.0,0.0746268656716417,2.0
mne-tools/mne-cpp,ID1,Tool,148.0,365615.0,137.0,11726.0,30.0,4530.0,2.751290473955889,39.0
mne-tools/mne-python,ID1,Tool,2561.0,158692.0,1287.0,17985.0,30.0,5109.0,3.710542603672375,346.0
modAL-python/modAL,ID1,Tool,2145.0,9570.0,313.0,739.0,16.0,2627.0,0.3124735729386892,16.0
modelhub-ai/modelhub-engine,ID1,Tool,10.0,12512.0,4.0,454.0,4.0,2527.0,0.2235352043328409,4.0
modern-fortran/neural-fortran,ID1,Tool,368.0,20464.0,76.0,316.0,12.0,2370.0,0.1499762695775985,12.0
monkeylearn/monkeylearn-python,ID1,Tool,164.0,56.0,44.0,73.0,5.0,3387.0,0.0236475542597991,5.0
monkeylearn/monkeylearn-ruby,ID1,Tool,80.0,34.0,14.0,38.0,6.0,3387.0,0.0129427792915531,6.0
montanaflynn/stats,ID1,Tool,2886.0,305.0,168.0,262.0,26.0,3691.0,0.0764517070323898,26.0
montefiore-ai/hypothesis,ID1,Tool,50.0,5691.0,5.0,475.0,3.0,2299.0,0.2339901477832512,3.0
morinim/vita,ID1,Tool,35.0,16106.0,6.0,2320.0,2.0,3341.0,0.7561929595827901,2.0
mova-institute/zoloto,ID1,Tool,26.0,53036.0,2.0,2050.0,6.0,3005.0,0.765496639283047,6.0
mratsim/Arraymancer,ID1,Tool,1310.0,3891.0,95.0,983.0,30.0,2842.0,0.3808601317318869,38.0
mravanelli/pytorch-kaldi,ID1,Tool,2354.0,581.0,446.0,158.0,11.0,2522.0,0.0699424524125719,11.0
mrdimosthenis/emel,ID1,Tool,97.0,693.0,5.0,271.0,1.0,2267.0,0.1359077231695085,1.0
